,ID,Name,Latitude,Longitude,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code
671,4O40kSZ88YkBDJ23Tzc2aw,Taqueria Del Sol,33.78732906,-84.41295849,Tex-Mex,3.5,617,$,30318
672,YC6NRb2vWPRR9yPt8d_CPg,Wood's Chapel BBQ,33.73656297,-84.38498486,Barbeque,4,207,$$,30312
673,vmqE8aRZ18ChH0-tL8L1aQ,Boone's,33.81619486,-84.40627308,American (New),4,29,$$,30305
674,Io97SS41sq7BtfmNs4tzFQ,Panera Bread,33.7875206,-84.3271615,Sandwiches,2,128,$,30307
675,9cGOJ8HMxoufyymdYD5LbQ,Oh K-Dog,34.06677,-84.17036,Hot Dogs,4.5,21,$,30097
676,jqKTf5UPrdRTriP2382TeA,Johnny Rockets,33.76189,-84.3957099,Burgers,3,160,$$,30313
677,fVYi0FoAAtefFmdNLGaRkg,Big Dave's Cheesesteaks,33.75620137,-84.38984936,Cheesesteaks,3.5,334,$$,30303
678,-O6W6xUWpzDs-XyZE6aHQg,Crazy Crab,33.8463144,-84.2515309,Seafood,4,134,$$,30084
679,3ZvvF1M4NJF5jZUkqhxQbw,Thumbs Up Diner,33.75419513,-84.36854696,Breakfast & Brunch,4,696,$$,30312
680,eYA8CpQFgRhc_sTSb0g8Pg,90 Kabob,33.88404784,-84.28735379,Chinese,4,63,$$,30341
681,1qWw8qR8K4xLyeLNldLi7g,Jamrock Restaurant,33.74353,-84.34951,Caribbean,3.5,91,$$,30316
682,Beo8hPu9HrEfpw0qOaLT-A,Marguerite?s Jerk Bistro,33.725848,-84.3769365,Caribbean,4.5,46,$$,30315
683,sPhPI3B6tvcJIULhICr-Pg,The Varsity,33.7715099,-84.3893109,Burgers,3,2198,$,30308
684,R5h5tGPXCfppWjXbUM7X8w,Everythang Nola Cafe,33.708431,-84.418445,Coffee & Tea,5,42,$$,30310
685,fUcbgUL3sRP1qSB30j6eJw,Just Around the Corner,33.75715505,-84.39261708,Sandwiches,4,78,$,30303
686,S6Jg39Po5IDtxY51LEx2yg,Newk's Eatery,33.828505,-84.329408,American (Traditional),3.5,87,$,30329
687,sQAtQV1tHZaOJWcR_T8bwg,Tiny Lou's,33.77336,-84.36135,French,4,211,$$,30306
688,LpgUGT2u7TcP8mkUh-oLmw,Deshi Street Bangladeshi Restaurant,33.86809094,-84.29971873,Bangladeshi,4.5,197,$$,30341
689,wKT-LDY3Faca4qPO6pVCBg,Q - Time Restaurant,33.73807526,-84.42445374,Southern,4,94,$,30310
690,Un0ghAC4a201kyPMpmFIsg,Chopt Creative Salad Co.,33.79832338,-84.37103173,Salad,3,69,$$,30324
691,AiFVqAFneSse0hExrzQTEg,The hive buckhead,33.80536258,-84.39375367,Breakfast & Brunch,2.5,446,$$,30309
692,EqM_faRNtK6pIiRvoPiqFg,Soul: Food & Culture,33.75711838,-84.3641525,Soul Food,3.5,29,$$,30307
693,5TUgoAP936AVzoSaXzLz-A,PushStart Kitchen,33.75531,-84.39085,Specialty Food,5,12,$$$,30301
694,EHZGMnhfLjFk6EOXWFzKrg,Poetree Cafe,34.026628,-84.04668,Korean,4,221,$$,30024
695,oVDk_opUZ7Y6riHkOpp49g,Jamal's Buffalo Wings,33.750564,-84.450449,Chicken Wings,4,105,$,30310
696,g8w22xJ4XCQedthuhE1ebg,Atwoods Pizza Cafe,33.77741259,-84.38703392,Pizza,4,264,$$,30308
697,3sFQbpTdKTlj1l8kJjDRCA,Anna's BBQ,33.75184119,-84.32277817,Barbeque,4,291,$$,30317
698,48UX4Sx-4Nc-uFhVKw7ZrA,Wrecking Bar Brewpub,33.762272,-84.349724,Brewpubs,4,742,$$,30307
699,XIRgCTxlf_P3-CZYqSsB7g,Flower Child,33.78546421,-84.41259213,Salad,4.5,44,$$,30318
700,3qs5SGl3ywcde7hNSoL7OA,Mojave,33.9031,-84.43525,Latin American,4,422,$$,30339
701,NxGPJ-sxTdYwWE0syOzdbg,Grips Good Eats,33.70632917,-84.4085285,Specialty Food,3,34,$$,30310
702,pFYW6rNHtdUFjdrP28rGZQ,Trader Vic's,33.761535,-84.38355299,Hawaiian,3.5,386,$$$,30303
703,NLRShcAx7lku9GiFBrfbcA,Gus's World Famous Fried Chicken,33.93276,-84.38049,Chicken Shop,4,461,$$,30328
704,Es-x1ok4nEbn-grrEjgVDg,THAT Burger Spot! #2,33.4753803,-84.337594,Burgers,4.5,96,$$,30238
705,Pv0BfXfdJX57yI6vSg7INQ,Recess,33.756595,-84.364182,Sandwiches,4,125,$$,30307
706,MBC2yOjkQyTjF91BkJyWEw,Cluck N Mooh,33.8264009,-84.36543111,Burgers,3.5,23,$$,30324
707,sS_glvig5V1_E9IeFe3x2g,Westside Provisions District Farmers Market,33.7858,-84.41168,Farmers Market,4.5,2,$$,30318
708,ERoYrBHNmTEEChY3RGaOGQ,Egg Harbor CafÇ,33.80510321,-84.39410988,Breakfast & Brunch,4.5,845,$$,30309
709,U1TNktr9XCBjRlEXqKxUnQ,Hop's Chicken,33.77242573,-84.365856,American (New),3,525,$,30308
710,EAtNhs_ecwKsZL0qaNPqbQ,La Fonda Latina,33.764691,-84.333804,Mexican,3.5,115,$$,30307
711,HN727MkqBRxgTMWVkbHpsw,Reuben's Deli,33.75563948,-84.38923727,Sandwiches,4,321,$,30303
712,y9RGkpiX-FdgHCUlx-ccMA,That Burger Spot,33.55211282,-84.3398671,Burgers,4.5,179,$$,30236
713,NeoTlmuusyIkKCjST0VD2g,Lifting Noodles Ramen,33.74075,-84.3467299,Ramen,4.5,130,$$,30316
714,3qySFB1GVdOu-4oKJsXlXg,Sufi's,33.8044268,-84.39382295,Persian/Iranian,4,403,$$,30309
715,5vQX8wYuOWlohVUljvxZbQ,Wild Crab,33.77655467,-84.29972333,Seafood,3.5,208,$$,30030
716,gA-KM5665MpsoAMCOOFQkQ,Emory Market at Cox Hall Food Court,33.7915681,-84.3231659,Food Court,3,8,$$,30322
717,LsiH6Kfg3mjpr1fMs3eqkg,Nunn - Betta,33.75391804,-84.38000321,Food Stands,4,1,$,30303
718,U3LxFm7LMo68BELk6hRWAA,Pho King,33.78022,-84.38753,Vietnamese,3.5,258,$$,30309
719,jvzDgG0ZFHB8KcLMR8M9sg,Allora,33.79158992,-84.39790204,Cocktail Bars,3.5,92,$$,30363
720,scRuSw2aJxUuiRfkmCDVhA,Five Daughters Bakery,33.78586,-84.41182,Donuts,4.5,76,$$,30318
721,FxvotvjV6TBPa1MkoFbqig,Red Pepper Taqueria,33.86977659,-84.33571997,Sports Bars,3.5,149,$$,30319
