id,Name,Cuisine,Ratings,Reviews,Price_Rng,Zip-Code,State,City,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,MTW Status
119,The Nook On Piedmont Park,American (Traditional),3.5,974,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
456,Sugar Factory,American (Traditional),2.5,526,3,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
102,Rock's Chicken & Fries,American (Traditional),4,132,1,30326,GEORGIA,Atlanta,"1,688","151,035","$89,476 ","$117,370 ","$32,505 ",Matching
620,HOBNOB Neighborhood Tavern - Dunwoody,American (Traditional),4,321,2,30346,GEORGIA,Atlanta,343,"43,417","$126,580 ","$67,101 ","$37,437 ",Matching
659,Best Cajun Asian,Asian Fusion,3.5,19,1,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
302,Doc Chey's Noodle House,Asian Fusion,3.5,275,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
4,Poor Calvin's,Asian Fusion,4.5,3868,3,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
9,Ponko Chicken,Asian Fusion,4.5,287,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
149,Publico Kitchen & Tap,Asian Fusion,4,658,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
163,Urban Wok,Asian Fusion,5,175,2,30319,GEORGIA,Atlanta,"17,884","1,411,878","$78,946 ","$60,526 ","$18,456 ",Matching
399,Tin Drum Asian Kitchen - Lindbergh Plaza,Asian Fusion,3,202,1,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
460,Whealthy,Asian Fusion,4.5,43,2,30328,GEORGIA,Atlanta,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",Matching
258,Takorea,Asian Fusion,4,444,2,30338,GEORGIA,Atlanta,"15,484","1,344,128","$86,808 ","$71,667 ","$19,352 ",Matching
493,International Bakery,Bakeries,4,118,1,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
463,Sweet Auburn BBQ,Barbeque,4,709,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
8,Fox Bros. Bar-B-Q,Barbeque,4.5,4098,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
120,The Original J.R. Crickets in Midtown Atlanta,Barbeque,3,335,2,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
19,Fat Matt's Rib Shack,Barbeque,4,2268,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
100,Fox Brothers Bar-B-Que Que-osk,Barbeque,4.5,72,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
390,Raging Burrito & Taco,Bars,4,760,2,30030,GEORGIA,Decatur,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",Matching
333,Ms. Icey's Kitchen & Bar,Bars,4,691,2,30033,GEORGIA,Decatur,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",Matching
616,Meehan's Public House - Downtown,Bars,3.5,454,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
266,Park Bar,Bars,4,563,2,30303,GEORGIA,Atlanta,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",Matching
256,Le Colonial - Atlanta,Bars,4,329,3,30305,GEORGIA,Atlanta,"14,265","1,992,461","$139,675 ","$103,339 ","$42,238 ",Matching
47,Two Urban Licks,Bars,4,3042,2,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
591,Illuminarium Atlanta,Bars,2.5,127,3,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
593,Lloyds Restaurant and Lounge,Bars,4,101,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
348,The Albert,Bars,4,316,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
220,The Independent,Bars,4,142,1,30308,GEORGIA,Atlanta,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",Matching
271,Blue India,Bars,4,317,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
574,Xhibit Studio Kitchen & Bar,Bars,3,15,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
339,Battle & Brew,Bars,4,302,2,30328,GEORGIA,Atlanta,"15,342","1,515,043","$98,751 ","$67,212 ","$23,526 ",Matching
326,Brew and Bird,Beer Bar,4.5,170,2,30033,GEORGIA,Decatur,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",Matching
474,Tribeca Buckhead,"Beer, Wine & Spirits",3.5,124,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
369,Nanas Chicken N Waffles,Breakfast & Brunch,4,865,2,30013,GEORGIA,Conyers,"7,605","349,961","$46,017 ","$40,581 ","$7,841 ",Matching
268,Callie's Hot Little Biscuit,Breakfast & Brunch,3.5,375,1,30306,GEORGIA,Atlanta,"12,266","840,840","$68,550 ","$55,718 ","$14,516 ",Matching
509,Gato,Breakfast & Brunch,4,311,1,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
467,Bread & Butterfly,Breakfast & Brunch,4,428,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
708,Egg Harbor Caf,Breakfast & Brunch,4.5,845,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
222,Flying Biscuit Caf - Midtown,Breakfast & Brunch,4,1733,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
158,Joy Cafe,Breakfast & Brunch,4.5,1116,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
691,The hive buckhead,Breakfast & Brunch,2.5,446,2,30309,GEORGIA,Atlanta,"10,405","932,807","$89,650 ","$58,739 ","$21,141 ",Matching
199,Bantam + Biddy,Breakfast & Brunch,3.5,585,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
142,Toast on Lenox,Breakfast & Brunch,4,331,2,30324,GEORGIA,Atlanta,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",Matching
31,Buttermilk Kitchen,Breakfast & Brunch,4.5,1934,2,30342,GEORGIA,Atlanta,"13,517","1,178,396","$87,179 ","$65,255 ","$20,854 ",Matching
65,Yo! Chef What's Cooking?,Breakfast & Brunch,4,101,2,30345,GEORGIA,Atlanta,"9,719","617,379","$63,523 ","$49,935 ","$13,362 ",Matching
698,Wrecking Bar Brewpub,Brewpubs,4,742,2,30307,GEORGIA,Atlanta,"8,251","483,693","$58,622 ","$47,414 ","$12,642 ",Matching
